% Model,Varennes_GD.mph
% Version,COMSOL 5.2.1.262
% Date,"Nov 18 2020, 08:56"
% Table,Tcalc - 
% Time (d),"Température (degC), EWT","Température (degC), LWT","Charge hydraulique (m), Charge hydraulique au puits"
6.170517381586955,13.315326838228316,13.333687495527329,213.09573460617995
6.171906270475844,13.315108047811123,13.338374259930617,213.0957569794143
6.173295159364733,13.31499512563721,13.345497645246951,213.09578940314452
6.1746840482536225,13.314851932336978,13.343508332068723,213.09581435741134
6.176072937142511,13.314719085443244,13.345643585175992,213.09583354366904
6.1774618260314,13.31455375725335,13.34120239145227,213.09583177885165
6.178850714920289,13.314296746916341,13.33474001833315,213.09581122569594
6.180239603809178,13.314046965517491,13.33078672626209,213.09578488449722
6.181628492698066,13.313454607676704,13.313024882106674,213.0957157612021
6.183017381586955,13.313070830020422,13.314118338983576,213.0956672214189
6.1844062704758445,13.312796120671464,13.314237876735774,213.09563486743366
6.185795159364734,13.312416000990083,13.308902304263484,213.0955967905728
6.187184048253622,13.312256602227933,13.315970184974958,213.0955870325514
6.188572937142511,13.31217171199421,13.31991433493306,213.0955901829933
6.1899618260314,13.312295923731426,13.33095202921021,213.09562104395144
6.191350714920289,13.312485093743192,13.337946957130043,213.09566072745378
6.192739603809177,13.312525814774972,13.336901446999036,213.09568216486878
6.194128492698066,13.312720820693471,13.34519402974837,213.0957160522923
6.1955173815869555,13.313253981661887,13.362309489540053,213.09578775731686
6.196906270475845,13.313500943885913,13.357333812954096,213.0958254678848
6.198295159364734,13.313812259876386,13.36319868371777,213.09586513937344
6.199684048253622,13.314320225903714,13.373966249758041,213.09592428449514
6.201072937142511,13.315135477546733,13.392001886505739,213.0960207858438
6.2024618260314,13.315706002180036,13.386995284807028,213.0960912760273
6.203850714920289,13.316094866053618,13.39031991424929,213.09614270324593
6.2052396038091775,13.316390707369521,13.390124452696057,213.09617378123784
6.206628492698067,13.316271132814109,13.376612758407816,213.0961613351923
6.208017381586956,13.316157945266923,13.376334760850057,213.0961544089923
6.209406270475845,13.315975218039682,13.37308557250833,213.09614677779481
6.210795159364733,13.315876263095845,13.376609556109429,213.09615716398235
6.212184048253622,13.315606987645424,13.37070170044717,213.09615351782804
6.213572937142511,13.315428301914324,13.372850190231816,213.0961597111544
6.2149618260314,13.31523124570333,13.370326786922021,213.0961607476662
6.216350714920289,13.314784367799291,13.35746419608796,213.09612677454325
6.217739603809178,13.314709077673228,13.365138970740986,213.09612452814414
6.219128492698067,13.314923042767475,13.372169067525022,213.09614797721932
6.220517381586956,13.315138676259153,13.370766184487422,213.09616403182656
6.221906270475844,13.315727311711214,13.382534278564776,213.09620923417327
6.223295159364733,13.316625014829697,13.395613023833846,213.0962815391429
6.224684048253622,13.317356931992379,13.391001330919323,213.09632183271432
6.226072937142511,13.318150208888198,13.392827126994462,213.09635360335176
6.2274618260314,13.318842131570989,13.387848155795098,213.09636252929275
6.228850714920289,13.319710555027484,13.39336136072734,213.09638552006564
6.230239603809178,13.320406848477603,13.387413161650102,213.09638866074468
6.231628492698067,13.32144858150508,13.401764553996259,213.0964336082141
6.233017381586955,13.322234096343323,13.397036477130428,213.09645752354714
6.234406270475844,13.323003306307896,13.399977694181189,213.0964833982786
6.235795159364733,13.32386113570442,13.40778106020798,213.09652650907498
6.2371840482536225,13.324939613832896,13.422957827113805,213.0966047364718
6.238572937142511,13.325729869514475,13.41561513358181,213.09665644215173
6.2399618260314,13.326350196939984,13.419629123183256,213.09669474523776
6.241350714920289,13.32655571353206,13.405223443286616,213.0966786056944
6.242739603809178,13.327039956110923,13.415826464288614,213.09669921833571
6.244128492698066,13.326989958229547,13.395054635367842,213.09666204736197
6.245517381586955,13.327060531189375,13.396865186724426,213.09664122468774
6.2469062704758445,13.32747656059854,13.407007614935651,213.09666130419302
6.248295159364734,13.327786903104425,13.40414459964768,213.09667387214452
6.249684048253622,13.327814732250431,13.392794511939655,213.09665134856021
6.251072937142511,13.327717483485344,13.38307961024799,213.0966059663645
6.2524618260314,13.327723211623095,13.380766168990647,213.0965670505028
6.253850714920289,13.327644653684729,13.372731987528539,213.0965184143065
6.255239603809177,13.327583402393486,13.368476499445876,213.09647155854262
6.256628492698066,13.32788489801294,13.378498610978795,213.09646689405045
6.2580173815869555,13.328292199809084,13.38311997412302,213.096478580083
6.259406270475845,13.328413858138788,13.372848106495212,213.09645557881794
6.260795159364734,13.328699021468822,13.37746848992731,213.0964463267923
6.262184048253622,13.329342234940157,13.391022909336527,213.09647689472587
6.263572937142511,13.330374317836004,13.411442468180383,213.09655780289364
6.2649618260314,13.331461018345863,13.422177228403257,213.09664594071603
6.266350714920289,13.332557678207252,13.432874838543,213.09673733057195
