% Model,Varennes_GD_gfunc.mph,,
% Version,COMSOL 5.2.1.262,,
% Date,"Apr 12 2020, 10:14",,
% Table,Tcalc - ,,
% Temps (d),"Température (degC), EWT","Température (degC), LWT","Charge hydraulique (m), Charge hydraulique au puits"
0.223520974,1.695678899,2.694690003,212.9818165
0.224215418,1.698551382,2.697562432,212.9817992
0.224909863,1.701416381,2.700427378,212.9817819
0.225604307,1.704273931,2.703284875,212.9817647
0.226298751,1.707124075,2.706134967,212.9817476
0.226993196,1.709966865,2.708977705,212.9817306
0.22768764,1.712802326,2.711813115,212.9817136
0.228382085,1.715630502,2.714641239,212.9816967
0.229076529,1.718451422,2.717462109,212.9816799
0.229770974,1.721265128,2.720275763,212.9816631
0.230465418,1.724071655,2.72308224,212.9816464
0.231159863,1.726871031,2.725881566,212.9816298
0.231854307,1.729663308,2.728673792,212.9816132
0.232548751,1.732448502,2.731458936,212.9815967
0.233243196,1.735226649,2.734237034,212.9815803
0.23393764,1.737997792,2.737008127,212.9815639
0.234632085,1.740761958,2.739772244,212.9815477
0.235326529,1.74351918,2.742529417,212.9815314
0.236020974,1.746269502,2.74527969,212.9815153
0.236715418,1.749012945,2.748023086,212.9814992
0.237409863,1.751749554,2.750759645,212.9814832
0.238104307,1.754479346,2.75348939,212.9814672
0.238798751,1.757202373,2.756212369,212.9814513
0.239493196,1.759918649,2.758928598,212.9814354
0.24018764,1.762628223,2.761638125,212.9814197
0.240882085,1.765331118,2.764340973,212.981404
0.241576529,1.768027371,2.767037179,212.9813883
0.242270974,1.770717022,2.769726784,212.9813727
0.242965418,1.773400091,2.772409806,212.9813572
0.243659863,1.776076604,2.775086274,212.9813417
0.244354307,1.77874659,2.777756214,212.9813263
0.245048751,1.781410083,2.780419661,212.981311
0.245743196,1.784067107,2.78307664,212.9812957
0.24643764,1.786717691,2.785727178,212.9812805
0.247132085,1.78936186,2.788371303,212.9812654
0.247826529,1.791999672,2.79100907,212.9812502
0.248520974,1.794631148,2.793640501,212.9812352
0.249215418,1.797256315,2.796265624,212.9812202
0.249909863,1.799875199,2.798884464,212.9812053
0.250604307,1.802487832,2.801497053,212.9811904
0.251298751,1.805094233,2.804103411,212.9811756
0.251993196,1.807694441,2.806703576,212.9811609
0.25268764,1.810288466,2.809297558,212.9811462
0.253382085,1.812876353,2.811885402,212.9811315
0.254076529,1.81545814,2.814467146,212.981117
0.254770974,1.818033842,2.817042805,212.9811024
0.255465418,1.820603483,2.819612405,212.981088
0.256159863,1.823167093,2.822175973,212.9810736
0.256854307,1.825724709,2.824733547,212.9810592
0.257548751,1.828276368,2.827285163,212.9810449
0.258243196,1.830822079,2.829830833,212.9810307
0.25893764,1.833361864,2.832370577,212.9810165
0.259632085,1.835895738,2.83490441,212.9810023
0.260326529,1.838423729,2.83743236,212.9809883
0.261020974,1.840945857,2.839954447,212.9809742
0.261715418,1.843462163,2.842470713,212.9809602
0.262409863,1.84597267,2.84498118,212.9809463
0.263104307,1.848477403,2.847485873,212.9809325
0.263798751,1.850976392,2.849984821,212.9809186
0.264493196,1.853469654,2.852478044,212.9809049
0.26518764,1.855957217,2.854965568,212.9808912
0.265882085,1.858439115,2.857447426,212.9808775
0.266576529,1.860915374,2.859923646,212.9808639
0.267270974,1.86338602,2.862394253,212.9808503
0.267965418,1.865851071,2.864859265,212.9808368
0.268659863,1.868310548,2.867318704,212.9808234
0.269354307,1.870764485,2.869772603,212.98081
0.270048751,1.873212904,2.872220984,212.9807966
0.270743196,1.875655834,2.874663876,212.9807833
0.27143764,1.878093287,2.877101291,212.98077
0.272132085,1.8805253,2.879533267,212.9807568
0.272826529,1.882951883,2.881959812,212.9807436
0.273520974,1.885373064,2.884380955,212.9807305
0.274215418,1.887788864,2.886796718,212.9807175
0.274909863,1.8901993,2.889207118,212.9807045
0.275604307,1.892604401,2.891612182,212.9806915
0.276298751,1.895004192,2.894011936,212.9806786
0.276993196,1.897398691,2.896406399,212.9806657
0.27768764,1.899787922,2.898795593,212.9806529
0.278382085,1.90217191,2.901179545,212.9806401
0.279076529,1.904550668,2.903558268,212.9806274
0.279770974,1.906924229,2.905931793,212.9806147
0.280465418,1.909292609,2.908300138,212.980602
0.281159863,1.911655833,2.910663326,212.9805894
0.281854307,1.91401392,2.913021378,212.9805769
0.282548751,1.916366896,2.915374319,212.9805644
0.283243196,1.918714768,2.917722156,212.9805519
0.28393764,1.921057573,2.920064926,212.9805395
0.284632085,1.923395323,2.922402642,212.9805272
0.285326529,1.925728044,2.924735329,212.9805148
0.286020974,1.928055753,2.927063003,212.9805026
0.286715418,1.930378473,2.929385689,212.9804903
0.287409863,1.932696221,2.931703403,212.9804781
0.288104307,1.935009027,2.934016176,212.980466
0.288798751,1.937316911,2.936324026,212.9804539
0.289493196,1.939619888,2.93862697,212.9804418
0.29018764,1.94191799,2.940925039,212.9804298
0.290882085,1.944211242,2.943218258,212.9804178
0.291576529,1.946499641,2.945506623,212.9804059
0.292270974,1.948783204,2.947790154,212.980394
0.292965418,1.951061951,2.950068869,212.9803822
0.293659863,1.953335906,2.952342791,212.9803703
0.294354307,1.955605089,2.954611941,212.9803586
0.295048751,1.957869507,2.956876328,212.9803469
0.295743196,1.960129189,2.959135978,212.9803352
0.29643764,1.962384161,2.961390918,212.9803235
0.297132085,1.964634439,2.963641164,212.980312
0.297826529,1.966880033,2.965886727,212.9803004
0.298520974,1.969120966,2.968127628,212.9802889
0.299215418,1.971357269,2.9703639,212.9802774
0.299909863,1.973588947,2.972595547,212.980266
0.300604307,1.975816032,2.974822601,212.9802546
0.301298751,1.978038532,2.977045071,212.9802432
0.301993196,1.980256473,2.979262981,212.9802319
0.30268764,1.982469867,2.981476343,212.9802206
0.303382085,1.984678724,2.98368517,212.9802094
0.304076529,1.986883075,2.985889491,212.9801982
0.304770974,1.989082928,2.988089314,212.980187
0.305465418,1.991278307,2.990284663,212.9801759
0.306159863,1.993469232,2.992475558,212.9801648
0.306854307,1.995655703,2.994662,212.9801538
0.307548751,1.997837751,2.996844018,212.9801428
0.308243196,2.000015391,2.999021629,212.9801318
0.30893764,2.002188636,3.001194845,212.9801209
0.309632085,2.004357519,3.003363698,212.98011
0.310326529,2.006522044,3.005528194,212.9800991
0.311020974,2.008682241,3.007688362,212.9800883
0.311715418,2.010838113,3.009844205,212.9800775
0.312409863,2.012989682,3.011995746,212.9800668
0.313104307,2.015136962,3.014142998,212.9800561
0.313798751,2.017279959,3.016285966,212.9800454
0.314493196,2.019418685,3.018424665,212.9800347
0.31518764,2.021553164,3.020559115,212.9800242
0.315882085,2.023683424,3.022689348,212.9800136
0.316576529,2.025809482,3.024815377,212.9800031
0.317270974,2.027931347,3.026937215,212.9799926
0.317965418,2.03004904,3.02905488,212.9799821
0.318659863,2.032162571,3.031168384,212.9799717
0.319354307,2.034271954,3.033277739,212.9799613
0.320048751,2.036377216,3.035382974,212.9799509
0.320743196,2.038478369,3.037484101,212.9799406
0.32143764,2.040575434,3.039581139,212.9799303
0.322132085,2.042668429,3.041674107,212.9799201
0.322826529,2.04475735,3.043763001,212.9799099
0.323520974,2.046842217,3.045847842,212.9798997
0.324215418,2.048923051,3.047928649,212.9798896
0.324909863,2.050999863,3.050005435,212.9798795
0.325604307,2.053072665,3.052078211,212.9798694
0.326298751,2.055141476,3.054146996,212.9798593
0.326993196,2.0572063,3.056211794,212.9798493
0.32768764,2.059267157,3.058272625,212.9798394
0.328382085,2.061324062,3.060329504,212.9798294
0.329076529,2.063377039,3.062382455,212.9798195
0.329770974,2.065426099,3.06443149,212.9798096
0.330465418,2.067471257,3.066476623,212.9797998
0.331159863,2.069512523,3.068517863,212.97979
0.331854307,2.071549919,3.070555234,212.9797802
0.332548751,2.073583453,3.072588744,212.9797704
0.333243196,2.075613139,3.074618404,212.9797607
0.33393764,2.077638993,3.076644234,212.979751
0.334632085,2.079661029,3.078666245,212.9797414
0.335326529,2.081679261,3.080684453,212.9797318
0.336020974,2.083693701,3.082698868,212.9797222
0.336715418,2.085704365,3.084709507,212.9797126
0.337409863,2.087711266,3.086716384,212.9797031
0.338104307,2.089714424,3.088719518,212.9796936
0.338798751,2.091713834,3.090718905,212.9796841
0.339493196,2.093709519,3.092714566,212.9796747
0.34018764,2.095701494,3.094706517,212.9796653
0.340882085,2.097689772,3.096694771,212.9796559
0.341576529,2.099674364,3.09867934,212.9796466
0.342270974,2.101655288,3.10066024,212.9796373
0.342965418,2.103632552,3.102637481,212.979628
0.343659863,2.105606166,3.104611071,212.9796187
0.344354307,2.107576145,3.106581027,212.9796095
0.345048751,2.109542499,3.108547359,212.9796003
0.345743196,2.111505248,3.110510085,212.9795911
0.34643764,2.113464402,3.112469216,212.979582
0.347132085,2.115419983,3.114424774,212.9795729
0.347826529,2.117372,3.116376768,212.9795638
0.348520974,2.119320456,3.118325202,212.9795548
0.349215418,2.121265378,3.120270102,212.9795458
0.349909863,2.123206771,3.122211472,212.9795368
0.350604307,2.125144638,3.124149317,212.9795278
0.351298751,2.127078992,3.126083649,212.9795189
0.351993196,2.129009844,3.128014479,212.97951
0.35268764,2.130937219,3.129941832,212.9795011
0.353382085,2.132861122,3.131865713,212.9794923
0.354076529,2.134781565,3.133786135,212.9794835
0.354770974,2.136698548,3.135703097,212.9794747
0.355465418,2.138612087,3.137616614,212.9794659
0.356159863,2.140522208,3.139526713,212.9794572
0.356854307,2.142428918,3.141433402,212.9794485
0.357548751,2.14433222,3.143336683,212.9794398
0.358243196,2.146232135,3.145236577,212.9794311
0.35893764,2.148128678,3.147133099,212.9794225
0.359632085,2.15002185,3.14902625,212.9794139
0.360326529,2.151911669,3.150916048,212.9794053
0.361020974,2.153798144,3.152802502,212.9793968
0.361715418,2.155681292,3.154685629,212.9793883
0.362409863,2.15756112,3.156565437,212.9793798
0.363104307,2.159437644,3.158441941,212.9793713
0.363798751,2.16131087,3.160315146,212.9793629
0.364493196,2.163180805,3.162185062,212.9793545
0.36518764,2.165047467,3.164051703,212.9793461
0.365882085,2.166910873,3.165915089,212.9793377
0.366576529,2.168771046,3.167775242,212.9793294
0.367270974,2.170627983,3.169632159,212.9793211
0.367965418,2.172481697,3.171485853,212.9793128
0.368659863,2.174332183,3.173336319,212.9793046
0.369354307,2.176179453,3.17518357,212.9792964
0.370048751,2.178023523,3.177027621,212.9792881
0.370743196,2.179864389,3.178868467,212.97928
0.37143764,2.181702076,3.180706134,212.9792718
0.372132085,2.18353659,3.182540629,212.9792637
0.372826529,2.185367957,3.184371977,212.9792556
0.373520974,2.18719617,3.186200171,212.9792475
0.374215418,2.189021253,3.188025235,212.9792395
0.374909863,2.190843203,3.189847167,212.9792314
0.375604307,2.192662036,3.191665981,212.9792234
0.376298751,2.194477769,3.193481695,212.9792155
0.376993196,2.196290392,3.195294299,212.9792075
0.37768764,2.198099941,3.197103829,212.9791996
0.378382085,2.199906409,3.198910279,212.9791917
0.379076529,2.201709811,3.200713662,212.9791838
0.379770974,2.203510159,3.202513992,212.9791759
0.380465418,2.205307464,3.204311279,212.9791681
0.381159863,2.207101731,3.206105528,212.9791603
0.381854307,2.208892976,3.207896754,212.9791525
0.382548751,2.210681208,3.209684969,212.9791447
0.383243196,2.21246643,3.211470173,212.979137
0.38393764,2.214248667,3.213252392,212.9791293
0.384632085,2.216027909,3.215031617,212.9791216
0.385326529,2.217804168,3.216807858,212.9791139
